Mungyo Compressed Charcoal Set of 12,DeSerres,223,https://www.deserres.ca/products/mungyo-12-compressed-charcoal?variant=39426418704517
Mungyo Compressed Charcoal Set of 12,Curry's,114,https://www.currys.com/product.htm?Product=MUNGCHAR12&Source=Category&Category=MUNGYO_COMPRESSED_CHARCOAL
Mungyo Oil Pastel Set of 24 Standard Assortment,DeSerres,224,https://www.deserres.ca/products/24-pack-artists-oil-pastels?variant=39426418376837
Mungyo Oil Pastel Set of 24 Standard Assortment,Curry's,115,https://www.currys.com/product.htm?Product=MUNG24&Source=Category&Category=MUNGYO_OIL_PASTEL_SETS
Amsterdam Standard Acrylic Set - 36 x 20 ml,Curry's,116,https://www.currys.com/product.htm?Product=AAC3620GEN&Source=Category&Category=AMSTERDAM_ACRYLIC_GENERAL_SETS
Amsterdam Standard Acrylic Set - 36 x 20 ml,DeSerres,225,https://www.deserres.ca/products/amsterdam-standard-acrylic-set-36-x-20-ml?variant=39426667643013
Amsterdam Standard Acrylic Set - 36 x 20 ml,Above Ground,301,https://store.abovegroundartsupplies.com/products/amsterdam-standard-acrylic-paints---general-selection-set-of-36-x-20ml-101782.html
Mungyo Compressed Charcoal Set of 12,Above Ground,302,https://store.abovegroundartsupplies.com/products/mungyo-soft-compressed-charcoal-set-of-12-52375.html
Fabre Castell 12-Pack Pastel Pencils,Above Ground,303,https://store.abovegroundartsupplies.com/products/faber-castell-pitt-pastel-pencils-set-of-12-9562.html
Pigma Sensei Manga Drawing Set,Above Ground,304,https://store.abovegroundartsupplies.com/products/sakura-pigma---sensei-manga---set-of-6-95099.html
Winsor & Newton Fineliner Set of 5 - Black,Above Ground,305,https://store.abovegroundartsupplies.com/products/winsor---newton-fineliner---black-0-8pt-set-of-5--101245.html
Derwent Sketching Collection Set of 24,Above Ground,306,https://store.abovegroundartsupplies.com/products/derwent-sketching-collection-set-of-24-9201.html
Sakura Micron 100 Anniversary 10pk,Above Ground,307,https://store.abovegroundartsupplies.com/products/sakura-micron-100-anniversary-10pk-102284.html
Strathmore 400 Marker Pad -9x12,Above Ground,308,https://store.abovegroundartsupplies.com/products/strathmore-400-marker-pad--9x12--95403.html
Stillman & Birn Alpha Series Hardbound Sketchbook - A4 - 8.25 x 11.75,Above Ground,309,https://store.abovegroundartsupplies.com/products/stillman---birn-alpha-series-hardbound-sketchbook---a4---8-25-x-11-75-in--93834.html
Derwent Watercolour Pencils Set of 12,Above Ground,310,https://store.abovegroundartsupplies.com/products/derwent-watercolour-pencils-set-of-12-55685.html
Daniel Smith – Hand Poured Watercolor Half Pan Set – Floral,Above Ground,311,https://store.abovegroundartsupplies.com/products/daniel-smith---hand-poured-watercolor-half-pan-set---floral--cottage-garden-to-botanical---6-colours-99661.html
